recruitment_fact_id,candidate_id,job_role_id,application_date,recruitment_source,stage,interview_score,offer_status,hired_flag,time_to_hire_days,score_band,fast_hire_flag,time_to_hire_category,high_quality_candidate,offer_accepted,hiring_efficiency_score,source_rank,candidate_status,hiring_delay_flag
69,CAND000069,83,2023-05-24,CAMPUS,HIRED,2.17,OFFERED,1,31,Average,0,Slow,0,1,100.0,5.0,Hired,1
70,CAND000070,100,2024-07-22,CAMPUS,INTERVIEW,2.98,REJECTED,0,45,Average,0,Slow,0,0,99.7,5.0,Rejected,1
71,CAND000071,5,2025-01-02,REFERRAL,HIRED,1.47,OFFERED,1,18,Poor,0,Normal,0,1,100.0,2.0,Hired,0
72,CAND000072,17,2023-06-19,LINKEDIN,INTERVIEW,4.57,HOLD,0,8,Excellent,1,Fast,1,0,100.0,1.0,On Hold,0
73,CAND000073,38,2023-12-05,CAMPUS,INTERVIEW,4.52,REJECTED,0,23,Excellent,0,Normal,1,0,100.0,5.0,Rejected,0
74,CAND000074,89,2025-12-29,COMPANY WEBSITE,HIRED,2.93,OFFERED,1,50,Average,0,Slow,0,1,93.95,3.0,Hired,1
75,CAND000075,74,2023-02-08,AGENCY,INTERVIEW,2.01,REJECTED,0,56,Average,0,Slow,0,0,74.15,4.0,Rejected,1
76,CAND000076,20,2024-04-20,CAMPUS,INTERVIEW,3.6,HOLD,0,7,Good,1,Fast,0,0,100.0,5.0,On Hold,0
77,CAND000077,62,2024-05-19,COMPANY WEBSITE,APPLIED,1.33,HOLD,0,39,Poor,0,Slow,0,0,80.95,3.0,On Hold,1
78,CAND000078,58,2024-11-15,CAMPUS,INTERVIEW,2.29,HOLD,0,22,Average,0,Normal,0,0,100.0,5.0,On Hold,0
79,CAND000079,36,2023-02-16,LINKEDIN,INTERVIEW,3.78,REJECTED,0,37,Good,0,Slow,0,0,100.0,1.0,Rejected,1
80,CAND000080,54,2024-10-17,LINKEDIN,HIRED,2.12,OFFERED,1,38,Average,0,Slow,0,1,93.8,1.0,Hired,1
81,CAND000081,76,2024-10-29,CAMPUS,APPLIED,1.75,HOLD,0,32,Poor,0,Slow,0,0,94.25,5.0,On Hold,1
82,CAND000082,50,2024-06-23,COMPANY WEBSITE,INTERVIEW,4.9,HOLD,0,33,Excellent,0,Slow,1,0,100.0,3.0,On Hold,1
83,CAND000083,73,2025-07-17,CAMPUS,INTERVIEW,3.41,REJECTED,0,54,Good,0,Slow,0,0,97.15,5.0,Rejected,1
84,CAND000084,35,2024-01-25,NAUKRI,INTERVIEW,3.9,HOLD,0,53,Good,0,Slow,0,0,100.0,6.0,On Hold,1
85,CAND000085,10,2025-04-03,AGENCY,HIRED,3.21,OFFERED,1,11,Good,1,Fast,0,1,100.0,4.0,Hired,0
86,CAND000086,65,2023-05-26,LINKEDIN,INTERVIEW,3.38,REJECTED,0,31,Good,0,Slow,0,0,100.0,1.0,Rejected,1
87,CAND000087,27,2024-11-19,CAMPUS,HIRED,2.87,OFFERED,1,41,Average,0,Slow,0,1,100.0,5.0,Hired,1
88,CAND000088,55,2024-06-01,COMPANY WEBSITE,INTERVIEW,3.14,REJECTED,0,11,Good,1,Fast,0,0,100.0,3.0,Rejected,0
89,CAND000089,53,2025-11-12,CAMPUS,HIRED,4.78,OFFERED,1,16,Excellent,0,Normal,1,1,100.0,5.0,Hired,0
90,CAND000090,78,2024-04-01,AGENCY,INTERVIEW,4.82,REJECTED,0,19,Excellent,0,Normal,1,0,100.0,4.0,Rejected,0
91,CAND000091,32,2023-02-03,COMPANY WEBSITE,APPLIED,1.45,REJECTED,0,32,Poor,0,Slow,0,0,89.75,3.0,Rejected,1
92,CAND000092,3,2023-09-25,LINKEDIN,INTERVIEW,4.87,HOLD,0,36,Excellent,0,Slow,1,0,100.0,1.0,On Hold,1
93,CAND000093,57,2024-02-05,CAMPUS,HIRED,3.56,OFFERED,1,17,Good,0,Normal,0,1,100.0,5.0,Hired,0
94,CAND000094,64,2025-02-02,NAUKRI,INTERVIEW,3.43,HOLD,0,24,Good,0,Normal,0,0,100.0,6.0,On Hold,0
95,CAND000095,51,2024-03-22,NAUKRI,INTERVIEW,3.19,REJECTED,0,39,Good,0,Slow,0,0,100.0,6.0,Rejected,1
96,CAND000096,30,2025-01-28,NAUKRI,HIRED,3.79,OFFERED,1,35,Good,0,Slow,0,1,100.0,6.0,Hired,1
97,CAND000097,17,2025-02-23,COMPANY WEBSITE,INTERVIEW,2.84,HOLD,0,40,Average,0,Slow,0,0,100.0,3.0,On Hold,1
98,CAND000098,77,2023-05-06,REFERRAL,APPLIED,1.96,HOLD,0,57,Poor,0,Slow,0,0,72.4,2.0,On Hold,1
99,CAND000099,55,2025-04-27,REFERRAL,INTERVIEW,3.79,REJECTED,0,10,Good,1,Fast,0,0,100.0,2.0,Rejected,0
100,CAND000100,25,2024-10-28,CAMPUS,INTERVIEW,3.41,HOLD,0,57,Good,0,Slow,0,0,94.15,5.0,On Hold,1
101,CAND000101,82,2024-08-26,NAUKRI,APPLIED,1.13,REJECTED,0,12,Poor,1,Fast,0,0,100.0,6.0,Rejected,0
102,CAND000102,12,2023-12-12,AGENCY,APPLIED,1.51,REJECTED,0,32,Poor,0,Slow,0,0,90.65,4.0,Rejected,1
103,CAND000103,26,2023-09-06,LINKEDIN,APPLIED,1.33,REJECTED,0,36,Poor,0,Slow,0,0,83.95,1.0,Rejected,1
104,CAND000104,61,2023-12-03,NAUKRI,INTERVIEW,4.22,HOLD,0,55,Excellent,0,Slow,1,0,100.0,6.0,On Hold,1
105,CAND000105,79,2023-10-30,AGENCY,INTERVIEW,3.47,HOLD,0,29,Good,0,Normal,0,0,100.0,4.0,On Hold,0
106,CAND000106,26,2024-06-09,REFERRAL,INTERVIEW,3.85,HOLD,0,53,Good,0,Slow,0,0,100.0,2.0,On Hold,1
107,CAND000107,18,2025-03-16,REFERRAL,HIRED,1.97,OFFERED,1,31,Poor,0,Slow,0,1,98.55,2.0,Hired,1
108,CAND000108,74,2025-11-28,LINKEDIN,APPLIED,1.85,HOLD,0,32,Poor,0,Slow,0,0,95.75,1.0,On Hold,1
109,CAND000109,17,2023-01-25,COMPANY WEBSITE,INTERVIEW,4.16,REJECTED,0,51,Excellent,0,Slow,1,0,100.0,3.0,Rejected,1
110,CAND000110,86,2023-02-03,LINKEDIN,APPLIED,1.51,HOLD,0,47,Poor,0,Slow,0,0,75.65,1.0,On Hold,1
111,CAND000111,26,2023-11-11,CAMPUS,INTERVIEW,3.42,HOLD,0,39,Good,0,Slow,0,0,100.0,5.0,On Hold,1
112,CAND000112,70,2024-09-15,COMPANY WEBSITE,APPLIED,1.75,REJECTED,0,36,Poor,0,Slow,0,0,90.25,3.0,Rejected,1
113,CAND000113,9,2025-01-28,REFERRAL,APPLIED,1.07,REJECTED,0,43,Poor,0,Slow,0,0,73.05,2.0,Rejected,1
114,CAND000114,95,2023-01-06,NAUKRI,HIRED,4.88,OFFERED,1,10,Excellent,1,Fast,1,1,100.0,6.0,Hired,0
115,CAND000115,94,2024-05-18,AGENCY,INTERVIEW,4.28,HOLD,0,8,Excellent,1,Fast,1,0,100.0,4.0,On Hold,0
116,CAND000116,26,2023-06-22,COMPANY WEBSITE,APPLIED,1.75,HOLD,0,10,Poor,1,Fast,0,0,100.0,3.0,On Hold,0
117,CAND000117,20,2023-04-23,COMPANY WEBSITE,INTERVIEW,3.83,REJECTED,0,20,Good,0,Normal,0,0,100.0,3.0,Rejected,0
118,CAND000118,11,2025-04-24,REFERRAL,APPLIED,1.21,REJECTED,0,56,Poor,0,Slow,0,0,62.15,2.0,Rejected,1
119,CAND000119,23,2023-06-21,NAUKRI,INTERVIEW,3.74,REJECTED,0,26,Good,0,Normal,0,0,100.0,6.0,Rejected,0
120,CAND000120,73,2025-02-23,LINKEDIN,INTERVIEW,2.89,REJECTED,0,44,Average,0,Slow,0,0,99.35,1.0,Rejected,1
121,CAND000121,95,2023-11-14,COMPANY WEBSITE,INTERVIEW,2.63,HOLD,0,59,Average,0,Slow,0,0,80.44999999999999,3.0,On Hold,1
122,CAND000122,34,2024-08-10,REFERRAL,INTERVIEW,4.71,REJECTED,0,28,Excellent,0,Normal,1,0,100.0,2.0,Rejected,0
123,CAND000123,72,2025-05-22,CAMPUS,INTERVIEW,4.2,REJECTED,0,41,Excellent,0,Slow,1,0,100.0,5.0,Rejected,1
124,CAND000124,83,2023-03-19,NAUKRI,INTERVIEW,2.44,REJECTED,0,51,Average,0,Slow,0,0,85.6,6.0,Rejected,1
125,CAND000125,40,2024-09-07,AGENCY,INTERVIEW,3.5,HOLD,0,39,Good,0,Slow,0,0,100.0,4.0,On Hold,1
126,CAND000126,97,2024-10-26,LINKEDIN,INTERVIEW,2.57,REJECTED,0,8,Average,1,Fast,0,0,100.0,1.0,Rejected,0
127,CAND000127,51,2025-11-28,REFERRAL,INTERVIEW,4.76,HOLD,0,13,Excellent,1,Fast,1,0,100.0,2.0,On Hold,0
128,CAND000128,64,2025-11-04,CAMPUS,INTERVIEW,3.13,HOLD,0,45,Good,0,Slow,0,0,100.0,5.0,On Hold,1
129,CAND000129,38,2025-10-17,CAMPUS,INTERVIEW,3.98,REJECTED,0,10,Good,1,Fast,0,0,100.0,5.0,Rejected,0
130,CAND000130,5,2025-05-14,AGENCY,INTERVIEW,3.15,HOLD,0,53,Good,0,Slow,0,0,94.25,4.0,On Hold,1
131,CAND000131,88,2025-08-05,CAMPUS,HIRED,2.95,OFFERED,1,10,Average,1,Fast,0,1,100.0,5.0,Hired,0
132,CAND000132,27,2023-04-05,REFERRAL,INTERVIEW,3.26,HOLD,0,32,Good,0,Slow,0,0,100.0,2.0,On Hold,1
133,CAND000133,20,2023-01-11,AGENCY,INTERVIEW,2.37,REJECTED,0,12,Average,1,Fast,0,0,100.0,4.0,Rejected,0
134,CAND000134,90,2023-10-29,REFERRAL,INTERVIEW,4.65,REJECTED,0,46,Excellent,0,Slow,1,0,100.0,2.0,Rejected,1
135,CAND000135,97,2025-04-07,REFERRAL,APPLIED,1.41,REJECTED,0,54,Poor,0,Slow,0,0,67.15,2.0,Rejected,1
136,CAND000136,37,2023-05-07,NAUKRI,INTERVIEW,3.31,HOLD,0,15,Good,1,Fast,0,0,100.0,6.0,On Hold,0
137,CAND000137,78,2025-02-17,LINKEDIN,APPLIED,1.94,REJECTED,0,32,Poor,0,Slow,0,0,97.1,1.0,Rejected,1
138,CAND000138,54,2025-09-09,LINKEDIN,HIRED,4.48,OFFERED,1,57,Excellent,0,Slow,1,1,100.0,1.0,Hired,1
139,CAND000139,47,2025-08-26,CAMPUS,APPLIED,1.82,REJECTED,0,59,Poor,0,Slow,0,0,68.3,5.0,Rejected,1
140,CAND000140,63,2023-09-01,LINKEDIN,INTERVIEW,4.68,REJECTED,0,8,Excellent,1,Fast,1,0,100.0,1.0,Rejected,0
141,CAND000141,34,2023-12-13,LINKEDIN,APPLIED,1.13,REJECTED,0,57,Poor,0,Slow,0,0,59.95,1.0,Rejected,1
142,CAND000142,71,2024-12-10,CAMPUS,INTERVIEW,2.45,REJECTED,0,49,Average,0,Slow,0,0,87.75,5.0,Rejected,1
143,CAND000143,85,2025-12-08,LINKEDIN,INTERVIEW,2.84,HOLD,0,26,Average,0,Normal,0,0,100.0,1.0,On Hold,0
144,CAND000144,63,2024-07-14,LINKEDIN,INTERVIEW,2.59,HOLD,0,57,Average,0,Slow,0,0,81.85,1.0,On Hold,1
145,CAND000145,62,2023-02-01,AGENCY,INTERVIEW,3.5,REJECTED,0,35,Good,0,Slow,0,0,100.0,4.0,Rejected,1
146,CAND000146,19,2023-01-18,LINKEDIN,INTERVIEW,3.86,HOLD,0,56,Good,0,Slow,0,0,100.0,1.0,On Hold,1
147,CAND000147,94,2025-08-04,COMPANY WEBSITE,INTERVIEW,2.34,HOLD,0,45,Average,0,Slow,0,0,90.1,3.0,On Hold,1
148,CAND000148,10,2023-06-11,COMPANY WEBSITE,HIRED,1.1,OFFERED,1,34,Poor,0,Slow,0,1,82.5,3.0,Hired,1
149,CAND000149,7,2025-10-28,LINKEDIN,HIRED,1.89,OFFERED,1,30,Poor,0,Normal,0,1,98.35,1.0,Hired,0
150,CAND000150,72,2025-12-13,LINKEDIN,INTERVIEW,3.28,REJECTED,0,57,Good,0,Slow,0,0,92.19999999999999,1.0,Rejected,1
151,CAND000151,8,2023-04-06,AGENCY,INTERVIEW,4.32,REJECTED,0,10,Excellent,1,Fast,1,0,100.0,4.0,Rejected,0
152,CAND000152,54,2024-04-13,AGENCY,HIRED,2.3,OFFERED,1,24,Average,0,Normal,0,1,100.0,4.0,Hired,0
153,CAND000153,33,2023-05-31,CAMPUS,APPLIED,1.49,REJECTED,0,25,Poor,0,Normal,0,0,97.35,5.0,Rejected,0
154,CAND000154,82,2024-05-28,LINKEDIN,INTERVIEW,3.5,HOLD,0,17,Good,0,Normal,0,0,100.0,1.0,On Hold,0
155,CAND000155,67,2024-04-15,COMPANY WEBSITE,INTERVIEW,3.5,HOLD,0,44,Good,0,Slow,0,0,100.0,3.0,On Hold,1
156,CAND000156,9,2025-12-12,COMPANY WEBSITE,HIRED,4.79,OFFERED,1,28,Excellent,0,Normal,1,1,100.0,3.0,Hired,0
157,CAND000157,81,2024-12-14,AGENCY,HIRED,4.58,OFFERED,1,38,Excellent,0,Slow,1,1,100.0,4.0,Hired,1
158,CAND000158,81,2024-06-09,LINKEDIN,INTERVIEW,3.53,REJECTED,0,45,Good,0,Slow,0,0,100.0,1.0,Rejected,1
159,CAND000159,4,2024-10-27,NAUKRI,APPLIED,1.69,HOLD,0,29,Poor,0,Normal,0,0,96.35,6.0,On Hold,0
160,CAND000160,18,2023-05-08,CAMPUS,INTERVIEW,3.31,HOLD,0,44,Good,0,Slow,0,0,100.0,5.0,On Hold,1
161,CAND000161,25,2025-09-24,NAUKRI,APPLIED,1.83,REJECTED,0,48,Poor,0,Slow,0,0,79.45,6.0,Rejected,1
162,CAND000162,57,2024-10-07,REFERRAL,INTERVIEW,3.4,REJECTED,0,59,Good,0,Slow,0,0,92.0,2.0,Rejected,1
163,CAND000163,17,2025-07-10,CAMPUS,INTERVIEW,4.08,REJECTED,0,52,Excellent,0,Slow,1,0,100.0,5.0,Rejected,1
164,CAND000164,54,2025-03-29,CAMPUS,INTERVIEW,4.08,HOLD,0,35,Excellent,0,Slow,1,0,100.0,5.0,On Hold,1
165,CAND000165,11,2024-11-06,LINKEDIN,INTERVIEW,2.19,HOLD,0,41,Average,0,Slow,0,0,91.85,1.0,On Hold,1
166,CAND000166,55,2024-09-14,AGENCY,HIRED,3.93,OFFERED,1,39,Good,0,Slow,0,1,100.0,4.0,Hired,1
167,CAND000167,20,2025-08-15,REFERRAL,APPLIED,1.62,REJECTED,0,15,Poor,1,Fast,0,0,100.0,2.0,Rejected,0
168,CAND000168,73,2024-12-13,LINKEDIN,HIRED,2.98,OFFERED,1,49,Average,0,Slow,0,1,95.7,1.0,Hired,1
169,CAND000169,39,2023-05-11,NAUKRI,APPLIED,1.01,REJECTED,0,57,Poor,0,Slow,0,0,58.15,6.0,Rejected,1
170,CAND000170,12,2023-10-02,CAMPUS,INTERVIEW,4.23,HOLD,0,55,Excellent,0,Slow,1,0,100.0,5.0,On Hold,1
171,CAND000171,57,2023-01-12,AGENCY,INTERVIEW,3.93,HOLD,0,27,Good,0,Normal,0,0,100.0,4.0,On Hold,0
172,CAND000172,80,2024-12-10,LINKEDIN,HIRED,2.96,OFFERED,1,21,Average,0,Normal,0,1,100.0,1.0,Hired,0
173,CAND000173,26,2023-02-16,NAUKRI,INTERVIEW,5.0,REJECTED,0,32,Excellent,0,Slow,1,0,100.0,6.0,Rejected,1
174,CAND000174,7,2023-12-01,CAMPUS,INTERVIEW,2.19,HOLD,0,54,Average,0,Slow,0,0,78.85,5.0,On Hold,1
175,CAND000175,87,2024-08-16,AGENCY,INTERVIEW,4.38,REJECTED,0,24,Excellent,0,Normal,1,0,100.0,4.0,Rejected,0
176,CAND000176,17,2025-09-21,COMPANY WEBSITE,INTERVIEW,2.92,REJECTED,0,9,Average,1,Fast,0,0,100.0,3.0,Rejected,0
177,CAND000177,90,2023-07-02,COMPANY WEBSITE,INTERVIEW,2.26,HOLD,0,55,Average,0,Slow,0,0,78.9,3.0,On Hold,1
178,CAND000178,25,2024-12-22,LINKEDIN,INTERVIEW,3.46,HOLD,0,8,Good,1,Fast,0,0,100.0,1.0,On Hold,0
179,CAND000179,34,2024-02-18,REFERRAL,APPLIED,1.74,HOLD,0,24,Poor,0,Normal,0,0,100.0,2.0,On Hold,0
180,CAND000180,99,2025-11-28,AGENCY,HIRED,1.21,OFFERED,1,55,Poor,0,Slow,0,1,63.15,4.0,Hired,1
181,CAND000181,57,2023-09-29,COMPANY WEBSITE,INTERVIEW,2.59,REJECTED,0,36,Average,0,Slow,0,0,100.0,3.0,Rejected,1
182,CAND000182,84,2024-01-24,LINKEDIN,APPLIED,1.01,REJECTED,0,51,Poor,0,Slow,0,0,64.15,1.0,Rejected,1
183,CAND000183,68,2023-05-26,AGENCY,APPLIED,1.17,HOLD,0,7,Poor,1,Fast,0,0,100.0,4.0,On Hold,0
184,CAND000184,79,2024-08-07,LINKEDIN,HIRED,3.72,OFFERED,1,18,Good,0,Normal,0,1,100.0,1.0,Hired,0
185,CAND000185,37,2023-03-02,CAMPUS,HIRED,3.35,OFFERED,1,45,Good,0,Slow,0,1,100.0,5.0,Hired,1
